"BIOME","1990","2014","2018","2020","2022"
"Albany Thicket",0.83572081231461,0.81442783391458,0.800388154255368,0.798677743871568,0.796919404841967
"Azonal",0.692667093584621,0.66461450115534,0.629065150678154,0.626799334408687,0.619742889355084
"Desert",0.846126815689147,0.841365611459069,0.800925129759824,0.80047196376301,0.79871532537942
"Forest",0.852939086254865,0.825621823237686,0.821311573939834,0.820467909981567,0.819580280530763
"Fynbos",0.673723176163302,0.633911872506815,0.604390944380441,0.601550612648079,0.599897277645643
"Grassland",0.67596124190408,0.640100071328016,0.62074822933109,0.617356193716026,0.614545906716614
"IOCB",0.445541041764208,0.386683915052778,0.361468664297532,0.358837402251872,0.355615153280888
"NOTVEG",0.947766475529467,0.935884362196303,0.927293090646888,0.92631173915451,0.925524394546951
"Nama-Karoo",0.986771534270264,0.983897255477651,0.980985169894175,0.980579394306542,0.980197743669088
"Savanna",0.78599440161054,0.752205423315934,0.739014605556729,0.734990267428469,0.732748588915825
"Succulent Karoo",0.9342307585436,0.923426248595993,0.917677070750194,0.916487704085108,0.915639829830738
"Total",0.757637272382888,0.726144440761145,0.70568058029077,0.702929886022994,0.70077168472278
